content,qtd_friends,qtd_reviews,qtd_photos,rating,user_has_photo,fake_review
"No dia 29 de Junho decidi ir jantar fora com a minha mulher e desloquei-me a este estabelecimento pela primeira vez! O serviço foi rápido e eficaz, ambos pedimos um bife à cervejeira com molho de cogumelos, para mim médio e para a minha mulher bem passado. Não sei se foi devido à grossura da carne mas estava dificílima de cortar, observando esta situação uma das funcionária perguntou se estaria tudo bem, ao que respondemos que não devido ao estado do prato, imediatamente chamou o responsável que se prontificou a providenciar o mesmo prato confeccionado de novo, agradecemos mas rejeitámos visto que não iríamos conseguir comer inteiro dado que já tínhamos comido um pouco do anterior. 
No final pedimos a conta e constatámos que não nos seria cobrado o prato do qual reclamámos. Fiquei impressionado com a forma com que o staff deste restaurante lidou com a situação, revelando honestidade, profissionalismo e de certa forma um sentido de honra para com o cliente. 

Voltarei a ir a este estabelecimento para que da próxima vez poça dar uma avaliação de 5 estrelas.",3,2,3,4,True,True
Optimo local no centro de lisboa. Excelente servico  e uma selecção de bebidas fantastica.,5,1,0,5,True,True
"Pub com musica ao vivo e karaoke, com excelente ambiente. A equipa é 5 estrelas. Adorei!",1,2,0,5,True,True
"Fui só uma vez a este bar em Novembro de 2015. Gostei muito da decoração e do ambiente, sem dúvida que me leva de volta à minha terra. Contudo não sei se foi azar meu ou não, não gostei do serviço, achei a empregada demasiado antipática e as bebidas demasiado caras.",1,2,0,3,True,True
"Tive o prazer de conhecer a vista do Memmo Alfama em Novembro de 2015. Apesar de estar uma noite fria, o hotel oferece uma manta para se aquecer, a vista, o serviço e o espaço em si, são esplêndidos. E quem tiver sorte como eu, ainda ouve ao fundo os fadistas de Alfama.",1,2,0,5,True,True
Ambiente ótimo principalmente se estiveres em grupo. Comida muito boa e atendimento excelente. Vale a ida!,16,6,0,4,True,True
"Boa comida, boas opções. um pouco de fila mas conseguimos arrumar mesa pouco tempo depois!",0,3,0,5,True,True
"Excelente ambiente, música anos 80/90 maioritariamente rock e rock alternativo. O serviço é impecavel.",15,1,0,5,True,True
"Sempre com muito boa música ao vivo.
Grupos com variados tipos de música e sempre com o público muito divertido.",3,1,0,5,True,True
"Grande Bar no Bairro Alto Boa Música e ambiente, staff 5 estrelas ! Bebidas variadas com excelentes caipirinhas",0,5,15,5,True,True
Bom espaço. Recatado com a sensação de sair da cidade. Os preços estão dentro do preço normal de um bar. Bastantes mesas ao ar livre. Tem wifi.,1,6,11,4,True,True
muito bom mesmo,0,1,1,2,False,True
"Bem caro, mas vale a pena. Adorei cada momento. Frequentado por muita gente bonita, dançante. Tem dois espaços, um de pop e o outro de eletrônica. Pode-se fumar em um deles. Adorei a noite que estive lá... Recomendo a todos.",5,1,0,5,True,True
"SURPREENDENTE! Bom ambiente, live jazz session maravilhosa! O barman foi super educado, simpático e paciente. Relativamente aos cocktails: caipirinha: não sabe a Brasil, mas é muito boa. O gelo picado foi uma invenção para ""hidratar"" a bebida, a caipirinha original é com gelo normal para que o gelo derreta lentamente e preserve o sabor da cachaça. Ainda assim, o serviço rápido e os sabores estavam no ponto! O Bloody Mary (para o meu gosto), poderia estar um pouco mais temperado com sal e lima - ou limão - mas gostei. É complicado agradar com um Bloody Mary por ser muito especifico, mas mais uma vez, não desiludiu! MAS!  O melhor acontece quando nos sentamos para fumar um cigarro! Apresentou-se como Saule, e nunca vi nada assim! MA-RA-VI-LHO-SA!!!! Humor, educação, diversão, e é dificil gerir tudo isto quando temos a sala cheia, levantamos copos, cinzeiros, repomos, limpamos... A 5 estrela veio com a simpatia do Staff! Uma dose de boa disposição e gosto no que faz! Parabéns!!",112,6,24,5,True,True
"Já era cliente do restaurante e do bar.  Mas infelizmente não poderei voltar a uma refeição...  Pedi salada mezogiorno ou qualquer coisa parecida,  para além de não trazer dois dos ingredientes descritos na carta, o queijo búfala estava estragado e a salada tinha um cabelo que se assemelhava a uma pestana.  O prato estava cheio de rúcula, e tinha dois tomate cherry com 4 rodelas de queijo búfala estragado...  Depois de muitas desculpas acabaram por me servir nervosamente um hambúrguer e que como pedi bem passado,  vinha sola de sapato...  Bom pra ir tomar um copo nada mais...",3,1,0,2,True,True
"A Capela é o único bar que ainda me faz frequentar o Bairro Alto. De semana, quando a confusão não existe, ir beber um copo no meio da óptima decoração e provavelmente ouvir boa música, é um bonito programa para a noite. 

Preços acessíveis nas bebidas, micro pista de dança, sala com mesas e cadeiras propícia à conversa. 

Não leva cinco estrelas simplesmente porque o WC, das senhoras pelo menos, está em péssimas condições. Há anos.",24,8,1,4,True,True
Um restaurante com uma vista invejável e também uma maravilha. Comida deliciosa ;-),0,2,1,5,False,True
"Espaço acolhedor num ambiente fantástico. Com sofás bastante apelativos e confortáveis. Para mim a melhor shisha de Lisboa, cocktails fabulosos em copos vermelhos com boa decoração e um atendimento bastante atencioso. É para voltar!",29,1,0,5,True,True
"Um dos grandes clássicos da noite de Lisboa onde sempre me senti bem. A música vai do rock ao punk britânico, alternativa. Optimo sitio para acabar a noite.",1,12,0,4,True,True
"A experimentar Bacalhau a Sol dourado, as Feijoadas e todo o marisco.",0,6,0,5,True,True
Cervejas Artesanais de muito boa qualidade! para repetir!,1,1,6,5,True,True
Dos melhores mariscos que comi em Lisboa!,25,17,0,5,True,True
"Comida muito elaborada, perdendo por vezes os sabores dos produtos. Os vinhos foram todos muito bons. Voltarei para provar um prato sem ser menu.",4,2,0,4,True,True
"Gostei muito deste espaço, o menu achei um pouco pretensioso e doses muito pequenas. Os vinhos são realmente bons. Parabéns",0,5,0,4,False,True
"É muito caro!
Péssima organização de espaço e tempo pois comida é servida fria!",3,1,0,1,True,True
"Que surpresa boa este restaurante! A melhor sangria de frutos vermelhos que já  bebi. Comida excelente , comi um salmão  fantástico  e sobremesa um cheesecake  de açaí .  Voltarei de certeza! Recomendo!",0,2,0,5,True,True
"O Musicbox é isso: uma caixa. 

Depois da antecâmara da entrada onde está a bilheteira, WCs e bengaleiro, passam-se as portas para a caixa de música propriamente dita. Um bar, alguns assentos, um palco e toda a sala é uma pista de dança. 

O sistema de som / acústica do espaço deixam a desejar. 

A decoração é inexistente. 

A programação musical é esquizofrênica e tanto existem noites de música de gosto terrivelmente dúbio direccionadas para facilitar engates de Erasmus, como se apanham grandes estrelas da electrónica internacional. 

As bebidas não são demasiado caras para o standard de uma discoteca. É que o Musicbox é isso, uma discoteca. Embora esteja situado no cais do sodre, as pessoas não podem exigir preços de bar da zona. 

Ponto positivo: está aberto praticamente todos os dias e muitas vezes é o único do género a estar aberto até às 6 da manhã - onde ir em Lisboa a um club à terça feira dançar até nascer o sol? Ao Musicbox. 

Como espaço em si, banal. Abrilhantado pela ocasional música de excelência que por lá passa.",24,8,1,3,True,True
"Não serviam vinho na esplanada, conseguimos pedir porque tinhamos reserva para jantar, o serviço foi demorado, o bife de atum estava bom",0,2,0,3,True,True
"Há anos que frequento o trobadores, adoro! Não há igual em Lisboa ou arredores, boa música, boa comida, bons amigos!",0,5,0,5,True,True
paragem obrigatoria,0,25,0,4,True,True
"Restaurante com bom bife, bons vinhos e um bar com bons cocktails e boa música.",0,2,7,5,True,True
"Super recomendo! A comida é uma delicia, a carta de vinhos diversificada e, principalmente, o staff é extremamente atencioso! O garçom nos atendeu muitíssimo bem, nos explicou o menu inteiro e nos ofereceu 2 vinhos diferentes para experimentarmos. Sem duvida, o atendimento do local é diferenciado! Voltarei sempre.",32,1,0,5,True,True
"Opah.. Se querem um belo spot para descontrair e comer bem a bom preço... Este é o Spot!  :3 ambiente agradável e acolhedor,  a comida :D de chorar por mais.  Ah e o que é mesmo porreiro é estarem abertos até as 2h 
Sugestões: Alheira com tomates cherry e queijo camembert saído do forno com tomates aos cubos",3,5,7,4,True,True
Adorei... Adorei... Adorei... Daqueles sítios que não queremos contar a ninguém.... Mas de tão bom não nos conseguimos conter... É acolhedor é simpático... A comida é óptima e o preço é óptima muito em conta... Aquelas jóias que temos perto de casa e nem sabemos... Aberto todos os dias até às 2 da manhã... Óptimo para estar apenas a beber cafe ou apreciar um vinho ou ainda um jantar a dois mais casual... Ou porque não entre amigos... Adorei tudo...,4,14,34,4,True,True
"Mau atendimento. Preços super inflacionados. Pessoas a pedir dinheiro de 2 em 2 minutos. Em suma, com tanto sítio bom para ir nesta zona não percam o vosso tempo/dinheiro aqui!",0,2,0,1,False,True
"Muito ruim. Comi um hambúrguer caro e que estava totalmente queimado, com pão seco. Não consegui comer nem a metade, mesmo estando com muita fome. Fui bem atendida, porém, não fizeram nada quando reclamei que a comida estava queimada, acharam normal. Os drinks tem uma apresentação horrível e de forma que deixa um pouco difícil de beber. 20€ em um hamburguer de carvão e um drink bizarro, muito caro. Tinha música ao vivo e o cantor colocou as filhas crianças para cantar desafinado quase todo o tempo. Foi a pior experiência que já tive em Lisboa. Não passo nem na porta mais.",16,1,0,1,True,True
"Nunca tinha cá vindo  fizemos reserva prévia porque esta sempre ao barrote. Pedimos vários pratos para petiscar o hummus e o guacamole são divinais.  A sangria óptima tanto branca como tinta... Na verdade optamos por nao ficar
Para a sobremesa pelo imenso barulho e confusão... Mas é um sitio a repetir.",4,14,34,3,True,True
É local intemporal e bem frequentado. Tem de ser visitado pelo menos uma vez.,118,16,0,4,True,True
Muito na moda em Lisboa mas na minha opinião que já comi tailandês na Tailândia está completamente aquecido artificialmente. Não é assim tão magnifico e os preços upa upa... Mas é trendy...,45,8,2,3,True,True
"O bar sem dúvidas é de extrema qualidade , mas os funcionários não são amigáveis , não todos , mas o que me atendeu foi rude , comunicação péssima , me atendeu com muito mal gosto , me senti mal com o atendimento.",0,1,0,1,False,True
"Melhores Bloody Mary's em Lisboa. Contudo parece depender do Bartender que o atende. São já algumas visitas e nem sempre parecem feitos da mesma forma. Vale a pena no entanto, pelo espaço, atendimento simpático e rápido - mesmo quando está cheio - e pelos cocktails! 
Vintage chiq, retro, arte urbana, uma decoração espetacular! Óptimo para uma noite divertida entre amigos ou um drink a meio da tarde, antes de jantar!",112,6,24,4,True,True
"Decoração pitoresca! 
Atendimento incrível!!!
Uma noite memorável pela exploração sensorial e erógena! ;)",0,3,0,5,False,True
"Um dos melhores Wine Bares de Lisboa, carta de vinhos extensa e selecionada. Serviço muito profissional.",4,3,0,5,True,True
"Pavilhões e pavilhões aperaltados de arte urbana, livros, galerias, bares, restaurantes, etc. É um espaço único de Lisboa, moderno e arrojado, tão aprazível para trabalhar como para visitar. É pena ser um pouco mal comunicado, mas isso não lhe retira mérito algum.",8,9,0,5,True,True
"Escondido, este lounge oferece a possibilidade de apreciar um cocktail e uma vista fantástica sobre a ponte 25 de Abril. O staff é atencioso. O Park tem refeições ligeiras como hambúrgueres. Os preços são um pouco elevados, mas lá está, o espaço e a vista também se pagam... Óptimo sítio para um final de tarde na companhia de amigos.",1,6,11,5,True,True
"Fui por engano. Ouvia falar tão bem deste restaurante que decidi experimentar, foi uma completa deceção.",0,2,0,1,False,True
"Fantastico local para se ir fazer uma refeição completa ou só para petiscar.
Vou várias vezes e o único problema que encontro é que está sempre cheio mas mesmo assim não é dificil encontrar mesa.
Pregos espectaculares, mariscos fresquissimos e a simpatia de todos os funcionários fazem cim que volte sempre.",0,4,0,5,False,True
Gostei da comida.,0,2,6,5,True,True
Adoro!,42,2,0,5,True,True
Excelente qualidade! Um ponto de referencia na cidade.,0,2,6,5,False,True
o melhor marisco de Lisboa,0,2,3,5,True,True
"Um sitio espetacular. Vale cada euro gasto! Gambas aguilo e camilhas,  lavagantes, santolas excelentes!

O problema é o raio da fila :) chegue cedo",1,12,0,5,True,True
"Simplesmente único, tudo excelente, aconselho vivamente a provarem os carabineros",3,1,12,5,True,True
"O marisco é top! Sempre fresco e acompanhado de um atendimento muito simpático e prestável. É recomendável chegar cedo, já que a fila a partir das 19.30 costuma ser bastante grande.",2,3,0,5,True,True
"De tempos a tempos gosto de ir à Cervejaria Ramiro para me deleitar com a cerveja tirada como manda a lei, acompanhada das deliciosas gambas al ajillo que não são de rejeitar, assim como as sapateiras e todo o marisco em geral! Desde o tempo do Sr. Ramiro que considero esta cervejaria a melhor de Lisboa.  O genro do Sr. Ramiro dá continuidade ao atendimento de excelência. O Parque de estacionamento no pátio do antigo hospital é um ponto a favor, dado que é complicado estacionar naquela zona. BRAVO, nunca baixem a qualidade, por favor !",0,2,0,5,False,True
"Muito gostamos nós os Portugueses de comer! E também não é de admirar, com casas destas não há como recusar. Estava aqui a lembrar-me da última vez que fui ao Ramiro, bem me apetecia agora. Começámos com um presuntinho pata negra que valha-me Santa Engrácia. Depois passámos às ameijoas, hmmmmm, e em seguida aos camarões. Tudo devidamente regado com um Alvarinho da adega que marchava agorinha mesmo, não fosse a dificuldade de encontrar tal verdasco por estas paragens. E no fim ainda houve quem fosse à tradicional sobremesa: o prego no pão para desenfastiar!",622,24,694,5,True,True
"Marisco fantástico.  O serviço é bom e o ambiente também. No entanto, deveriam aceitar reservas pois é muito dificil e lento encontrar mesa",0,4,0,5,True,True
Marisqueira icônica em Lisboa. Sempre muita gente mas vale a pena esperar! Marisco muito fresco e a bom preço.,0,2,1,5,True,True
"5*, marisco do melhor que lisboa tem para oferecer, atendimento do qual não tenho nada de negativo a apontar, pelo contrário, todo o staff muito simpåtico... enfim, um daqueles sitios que nos deixa com vontade de lå voltar. Recomenda se.",5,1,0,5,True,True
"Um ambiente agradável, de bom aspecto e atendimento. Recomendo as pessoas exigentes na gastronomia.",0,1,0,5,False,True
"Wow, é fantástico!",0,1,0,5,False,True
"A melhor cervejaria de Lisboa! Apesar de os preços serem elevados justifica-se pela qualidade dos mariscos, vale bastante a pena.",27,21,0,5,True,True
"Super vale o valor da conta, tudo o que provei é ótimo e fiquei com vontade de voltar.",0,2,0,5,False,True
"Fabuloso, tudo fresco e com muita simpatia.",8,2,1,5,True,True
"Marisco Excelente, um clássico de Lisboa.",0,3,0,5,True,True
Tudo optimo! Dos pregos ao marisco.,0,3,0,4,True,True
"e mesmo do melhor que podemos ter em marisco e boa crevja
os pregos sao uma delicia na qualidade da carne e no sabor
defeito so mesmo a longa espera sempre e a qualquer hora",3,10,0,4,False,True
"Adoro os pregos e o marisco. O serviço por vezes é pouco cortez, em consequência da muita afluência de clientes.",118,16,0,4,True,True
"já fui por duas vezes e gostei, é um ambiente muito agradável.",2,1,0,4,True,True
Bom,7,5,0,4,True,True
"Se gosta de marisco, se gosta de peixe bom e fresco, se não precisa de se conter muito pois não é propriamente barato mas é realmente muito bom. Aconselha-se a não comer muito ao almoço para que possa ter um bom manjar de jantar. Tem mesmo de chegar cedo, pois não aceitam reservas é por ordem de chegada. NÃO DEIXE DE IR!!!",38,6,7,4,True,True
"Muito boa.
Mas é quase impossível entrar pois a fila é enorme.
BARULHENTO",0,2,0,4,False,True
"Excelente cervejaria. Bom Marisco, sempre fresco.",68,2,0,4,True,True
"Marisco do melhor e mais fresco que se pode comer, já frequento esta casa desde criança com os meus pais, ainda no tempo do Sr.Ramiro. Na minha opinião continua a ser uma das melhores marisqueiras de Lisboa.",1,4,0,4,True,True
se quiser saborear um bom marisco é o local ideal para o fazer.,0,2,0,4,True,True
"Se procuram um lugar agradável para tirarem a barriguinha de misérias e comerem um óptimo marisco este é o sítio. Preparem-se também para pagar o correspondente a bom marisco. As gambas al ajillo são de comer e chorar por mais e os buzios primam pela frescura tal como todo o marisco que já la provei. Para rematar e reconfortar o estomago, aquele pãozinho torrado e o presunto fazem com que queira la voltar sempre!",1,3,0,4,True,True
"muti parra e pouca uva

caro cheio de turistas...ganhou nome e pronto...demasiada gente

a comida é bastante boa que nao hajam duvidas mas nao abusem",0,7,0,3,False,True
"O marisco é de facto muito bom. Nota-se que são verdadeiros especialistas na sua confecção. Mas o serviço não acompanha os preços praticados. Filas de espera para entrar, não aceita reservas e os empregados correm para atender todas as mesas. Demasiado ruidoso para o meu gosto.",1,6,0,3,True,True
ja se comia,0,1,0,3,True,True
A cervejaria e marisqueira mais conhecida da cidade de Lisboa. Durante o verão é muito concorrida o que implica algum tempo de espera para ter mesa. Marisco de muito boa qualidade mas também um pouco caro.,1,2,0,4,True,True
Atencao aos tempos de espera e ás pessoas ao frio na fila..na rua,0,10,0,2,True,True
Sá há marisco e que não é de primeira qualidade. Não há pratos de carne ou de peixe que valhm a pena ser pedidos,0,15,0,2,False,True
"Há uns bons anos atrás era uma tasca onde se comia muito bem, preferia como estava, uma tasca bela, década de 80/90. Memórias ...",0,2,0,2,False,True
Não vi e não sei onde mas pelo filme parace bem,0,2,0,2,True,True
Não é má mas o serviço deixa um bocado a desejar...,0,12,0,2,True,True
"Bom marisco fresco, contudo têm uma limitada variedade de produtos. Fomos bem atendidos mas o ambiente em geral é um pouco atribulado.",0,3,1,3,False,True
"Comida fantástica, atendimento demasiado baldas. Espaço cheio de gente...",1,4,0,3,False,True
"Razoável. Não justifica a reputação. Preço e serviço ruim, além da falta de organização para as filas. Pelo que fatura já deveria ter uma hostess multilíngue. Prefira a Marisqueira do Lis, na mesma rua pouco mais acima.",0,2,0,3,True,True
"Em 2009 este era um mero tasco onde locais e turistas, passavam para uma refeição rápida! 
Uma sopa, uma bifana e uma imperial.
Em 2010 passa a ser um nome de referência da capital, uma zona de passagem obrigatória, aclamadas uma das melhores bifanas de Lisboa! 

Lê o post na integra em: umnabogourmet.blogspot.p…",18,18,3,3,True,True
"Empregada rude e sem classe ,pena que a vista até é boa ....................................................,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0,1,False,True
"Vista interessante, bebidas a preços razoáveis para hotel, serviço um pouco lento. A revisitar.",0,1,0,4,True,True
Tem uma vista muito bonita. É um pouco caro mas vale a pena dar-se ao luxo pelo menos uma vez!!,0,3,1,4,False,True
"Bom atendimento, boa comida e bons vinhos. O preco é justificado pela qualidade, irei voltar certamente!",25,17,0,5,True,True
"O que dizer sobre este sítio?
É mítico e dispensa apresentações.

Foi mágico para mim, pois o Anthony Bourdain himself já lá esteve. 
É um ambiente mágico e aconselho a visita ou várias porque é realmente uma experiência que nos desliga da realidade e que nos transporta para Lisboa de antigamente com o fado como som de fundo.

Os preços é que são absurdos visto que não é propriamente um ponto turístico, pelo menos não achei...",27,21,0,5,True,True
Grande tradição de Fado no Bairro Alto ambiente descontraído Tasca do chico é sempre uma animação . Viva à Tasca do chico!,0,5,15,5,True,True
"Olá, (moulin1972laurent@outloo… ) como você está? O objetivo de nossos especialistas é ajudar as pessoas que precisam de dinheiro e, para isso, colocamos nossos serviços em benefício de todos. Para ampliar nossas atividades e dar a todos a oportunidade de conseguir, oferecemos empréstimos de dinheiro para quem quer ou está em dificuldade financeira para comprar projetos imobiliários, agrícolas ou outros projetos, projeto de construção e outro tipo de empréstimo de reembolso de 2% para permitir empréstimos de € 500 a € 10,000,000 Se a nossa oferta lhe interessar, entre em contato conosco. Email: moulin1972laurent@outloo…
moulin1972laurent@gmail.…",0,1,0,1,True,True
"Boa escolha.
Genuinamente portugues",0,10,0,4,True,True
Muito animado e refundido o torna o local muito atraente e tem um ótimo cardápio e seleção musical,0,2,0,5,False,True
"Bela comida mas a covid atrapalha um pouco mas tudo dará certo, adorei tudo aqui, amazinnng gosto de tudo aí",0,3,0,5,False,True
Adoro da decoração ao serviço...  O ambiente é óptimos e o atendimento.  A recomendar o risonho de cogumelos é divinal..,4,14,34,5,True,True
"Ambiente descontraído e agradável, almoço com boas opções de comida, atendimento bom e preço justo. Recomendo o lugar para almoço.",3,1,0,4,True,True
"Ambiente agradável e atendimento agilizado! Sanduíches e Hot Dogs muito bom. Experimentei o Dog Paraíba, uma delícia de cachorro-quente com carne bovina desfiada. Preço justo e tamanho ideal do lanche. Bem montado, todo o seu recheio cabe dentro do pão e não desmonta ou se faz necessário a utilização de avental para aproveitar essa delícia. Vale muito a pena, para quem está nas imediações das Mercês, Vista Alegre, Campina do Siqueira, venham pra k!",15,5,1,4,True,True
Péssimo atendimento. Eu tenho um amigo que recomenda o Lamen House como trote para turistas serem maltrados rs. Triste realidade.,0,1,0,1,False,True
"A comida é boa, mas o atendimento é péssimo. A grande sorte do lugar é a falta de concorrência, diferente de São Paulo que o lamem está na moda, essa é a única casa especializada em Curitiba. Já fui mais de dez vezes, sempre tolerando a grosseria, na última vez foi a gota d'Água, não volto mais, viajo para São Paulo, mas não piso mais nesse lugar. Lamenazi",22,6,1,1,True,True
Speranza Extraordinária é a melhor!,2,1,3,5,True,True
Um conjunto de fatores que influenciam o retorno de cada cliente ... ótimo atendimento pratos variados variedade de bebidas ótimo estacionamento ....... parabéns a todos que fazem parte da equipe não é mérito de um mas de todos..... parabéns o ótimo atendimento faz valer cada centavo.,0,1,0,4,False,True
Muito boa qualidade e opções de cardápio. Carnes Excelentes. Tem um buffet bem diversificado para complementar as carnes.,22,3,0,4,True,True
